1754 operas,Mx4rvcOKYJwpEbGdrcN5Y29ycA,Opera-CW
Iranian children,Mx4rvVjPMJwpEbGdrcN5Y29ycA,HumanChild
Seaside resorts in Mexico,Mx4rvx0OwZwpEbGdrcN5Y29ycA,Resort-Attraction
Italian rowers,Mx4rvVi--5wpEbGdrcN5Y29ycA,Athlete
Suicides by hanging in Alaska,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
"Churches in New Castle County, Delaware",Mx4rvVif_pwpEbGdrcN5Y29ycA,Church-Building
2007 Greek television series debuts,Mx4rvj_X65wpEbGdrcN5Y29ycA,TVSeriesProduct
Philadelphia Phillies coaches,Mx4rvVjlaJwpEbGdrcN5Y29ycA,SportsCoach
4-6-4 locomotives,Mx4rvZJQDJwpEbGdrcN5Y29ycA,TrainEngine
Neath F.C. players,Mx4rvVkDmZwpEbGdrcN5Y29ycA,SoccerPlayer
Named passenger trains of the Great Western Railway,Mx4rFoHIZEJPEdqAAACQJw5drg,RailwayTransportationDevice
"Mayors of Berkeley, California",Mx4rwQrzr5wpEbGdrcN5Y29ycA,Mayor
Stackridge albums,Mx4rwLmi3JwpEbGdrcN5Y29ycA,Album-CW
Autism navigation boxes,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
Corrals,Mx4rwPu5V5wpEbGdrcN5Y29ycA,Corral
Mosques in Manisa,Mx4rwJSZ7ZwpEbGdrcN5Y29ycA,Mosque-Building
Museums in Odessa Oblast,Mx4rvWEnjpwpEbGdrcN5Y29ycA,MuseumStructure
Recipients of the Eino Leino Prize,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Channel 29 virtual TV stations in the United States,Mx4rwQCRppwpEbGdrcN5Y29ycA,TelevisionStation
"People from Chester, Vermont",Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
935 deaths,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Children's museums in Arizona,Mx4rvWEnjpwpEbGdrcN5Y29ycA,MuseumStructure
Basketball leagues in Ukraine,Mx4rvVjbp5wpEbGdrcN5Y29ycA,SportsLeague
Continuum mechanics,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
Swedish Luciferians,Mx4rvVj4GZwpEbGdrcN5Y29ycA,ReligiousPerson
Magicians by nationality,Mx4rwQr5RpwpEbGdrcN5Y29ycA,Magician-Performer
"Defunct companies based in Tacoma, Washington",Mx4rvVjQNpwpEbGdrcN5Y29ycA,Business
Boris Grebenshchikov albums,Mx4rwLmi3JwpEbGdrcN5Y29ycA,Album-CW
Mining museums in England,Mx4rvWEnjpwpEbGdrcN5Y29ycA,MuseumStructure
"Mayors of Glendale, California",Mx4rwQrzr5wpEbGdrcN5Y29ycA,Mayor
Films directed by Lau Lauritzen Sr.,Mx4rv973YpwpEbGdrcN5Y29ycA,Movie-CW
Knights of the Order of the Falcon,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
"People from Barth, Germany",Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
1987 direct-to-video films,Mx4rv973YpwpEbGdrcN5Y29ycA,Movie-CW
14th-century Genoese people,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Albums produced by Jaki Liebezeit,Mx4rwLmi3JwpEbGdrcN5Y29ycA,Album-CW
Ambassadors of Nepal to the European Union,Mx4rvrr-aZwpEbGdrcN5Y29ycA,Ambassador
"Populated places in Warren County, New York",Mx4rrPJDpCTfQdeS8IqP1a0lBw,PopulatedPlace
Census-designated places in Utah,Mx4rrPJDpCTfQdeS8IqP1a0lBw,PopulatedPlace
People from Twickenham,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
NASA space stations,Mx4rvb36jJwpEbGdrcN5Y29ycA,SpaceStation
Albums produced by The Underdogs,Mx4rwLmi3JwpEbGdrcN5Y29ycA,Album-CW
Indian hedge fund managers,Mx4rvVi3YpwpEbGdrcN5Y29ycA,Manager
Populated places on Lake Geneva,Mx4rrPJDpCTfQdeS8IqP1a0lBw,PopulatedPlace
Pedro Mariano albums,Mx4rwLmi3JwpEbGdrcN5Y29ycA,Album-CW
Sturt Football Club coaches,Mx4rvVjlaJwpEbGdrcN5Y29ycA,SportsCoach
"Roads in Brevard County, Florida",Mx4rvyNjbZwpEbGdrcN5Y29ycA,Roadway
Ratites,Mx4rhc5QPa0WEd6eNAAhm0kILA,Ratite
Comics characters introduced in 1940,Mx4rwHKvgpwpEbGdrcN5Y29ycA,FictionalCharacter
Documentary films about auto racing,Mx4rv973YpwpEbGdrcN5Y29ycA,Movie-CW
Films shot in Chiang Mai,Mx4rv973YpwpEbGdrcN5Y29ycA,Movie-CW
Suspension bridges in the United States,Mx4rvgD1IZwpEbGdrcN5Y29ycA,Bridge
Christer Björkman songs,Mx4rwP3teJwpEbGdrcN5Y29ycA,Song-CW
Duke Robillard albums,Mx4rwLmi3JwpEbGdrcN5Y29ycA,Album-CW
Azerbaijani administrative divisions of Nagorno-Karabakh,Mx4rIUAnlhjBRyGV2Qfe3aefJw,District-Azerbaijan
Medical emergencies,Mx4rwQw4WZwpEbGdrcN5Y29ycA,PhysiologicalCondition
Sports clubs disestablished in 1895,Mx4rvViwbJwpEbGdrcN5Y29ycA,SportsTeam
Employment agencies of France,Mx4rQjPWFMh5EdmAAAACs6hRjg,Institution
Publications disestablished in 1711,Mx4rwQ7-8pwpEbGdrcN5Y29ycA,MagazineSeries
Municipalities of Slovenia,Mx4r06ySZMcYEdmAAAACs6hRjg,Municipality
1960s establishments in Greenland,Mx4rvjSBSZwpEbGdrcN5Y29ycA,Artifact-Generic
"Media in Kansas City, Kansas",Mx4rv9YQyZwpEbGdrcN5Y29ycA,MediaOrganization
Rugby union clubs in County Tipperary,Mx4r2lUrzHIIR5Ca3xMAlARuPQ,RugbyTeam
E.G. Records,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
French expatriates in Burkina Faso,Mx4rcSllnCxOQdiI0P90K7qpmQ,Expatriate
SAB TV programmes,Mx4rvnewlpwpEbGdrcN5Y29ycA,TVShow-CW
Michael Jackson concert tours,Mx4rvViADZwpEbGdrcN5Y29ycA,Event
Sri Lankan murderers,Mx4rv1UvdZwpEbGdrcN5Y29ycA,Murderer
Dental schools in Florida,Mx4r3np2ODTxEdqAAAAH6RYvSQ,School-AcademicOrganization
Treaties concluded in 1995,Mx4rwD8ghJwpEbGdrcN5Y29ycA,Treaty
Dutch expatriates in Chile,Mx4rcSllnCxOQdiI0P90K7qpmQ,Expatriate
Arachis,Mx4rvViPFpwpEbGdrcN5Y29ycA,AngiospermSpecies
Russian directors,Mx4rvV79tpwpEbGdrcN5Y29ycA,DirectorOfOrganization
Unix programming tools,Mx4rwJxiRJwpEbGdrcN5Y29ycA,ComputerProgram-CW
Ministers of Education and Science of Lithuania,Mx4rv-GMiJwpEbGdrcN5Y29ycA,Minister-Governmental
Hamiltonian paths and cycles,Mx4rvVjltpwpEbGdrcN5Y29ycA,MathematicalThing
Nepal Bhasa media,Mx4rvnewlpwpEbGdrcN5Y29ycA,TVShow-CW
Soviet civilians killed in World War II,Mx4rwQCE1JwpEbGdrcN5Y29ycA,Civilian
Argentine expatriates in Japan,Mx4rcSllnCxOQdiI0P90K7qpmQ,Expatriate
1924 establishments in California,Mx4rvjSBSZwpEbGdrcN5Y29ycA,Artifact-Generic
School choice advocacy groups,Mx4rv0_hXZwpEbGdrcN5Y29ycA,AdvocacyOrganization
WKU Hilltoppers and Lady Toppers athletic directors,Mx4rvVi3YpwpEbGdrcN5Y29ycA,Manager
Dances of Australia,Mx4rfP9E4nSwEdaAAACgyZzFrg,DancingTypeByStyle
1791 animal deaths,Mx4r5lNPkMLgQdeAzr878CoUZw,NonHumanAnimal
Victorian-era destroyers of the United Kingdom,Mx4rwQCZ_pwpEbGdrcN5Y29ycA,Destroyer
Works by Bruce Jay Friedman,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
