Elections in Mauritania,Mx4rwQrmEZwpEbGdrcN5Y29ycA,Election
Spanish golfers,Mx4rvlU1HZwpEbGdrcN5Y29ycA,Golfer
Olympic tennis players of Germany,Mx4rvVj5IZwpEbGdrcN5Y29ycA,TennisPlayer
"Cemeteries in Washington, D.C.",Mx4rwPzRbpwpEbGdrcN5Y29ycA,Graveyard
Queensland cricketers,Mx4r7vjP4RuaEd2f4ADggVfexA,Cricketer
Villages in Saitama Prefecture,Mx4rv33BppwpEbGdrcN5Y29ycA,Village
Spike Jones albums,Mx4rwLmi3JwpEbGdrcN5Y29ycA,Album-CW
Airlines of Liberia,Mx4rvViq7pwpEbGdrcN5Y29ycA,AirlineCompany
Dark Horse Comics,Mx4rv9ABjJwpEbGdrcN5Y29ycA,ComicBookIssue
Silicon compounds,Mx4rvUCoPtoTQdaZVdw2OtjsAg,ChemicalCompoundTypeByChemicalSpecies
Todd Rundgren albums,Mx4rwLmi3JwpEbGdrcN5Y29ycA,Album-CW
Hotels in Kentucky,Mx4rvViIe5wpEbGdrcN5Y29ycA,HotelBuilding
Communications in Ghana,Mx4rgQvTJV2xEdif1wACs2IMlQ,Communication-Topic
Luo languages,Mx4rvVj0iZwpEbGdrcN5Y29ycA,Language
1904 Summer Olympics events,Mx4rvVi-qpwpEbGdrcN5Y29ycA,SummerOlympicsCompetition
Tamils of Sri Lanka,Mx4rvViyF5wpEbGdrcN5Y29ycA,EthnicGroupOfTamils
Mannerist sculptors,Mx4rvgDFlZwpEbGdrcN5Y29ycA,Sculptor
Unidentified murder victims,Mx4rx1ZbGssREdmAAAACs6hRjg,Victim-UnfortunatePerson
Members of the Australian House of Representatives for Longman,Mx8NhB4rvcD6KJwpEbGdrcN5Y29ycB4rvsaaeJwpEbGdrcN5Y29ycB4rvViz-5wpEbGdrcN5Y29ycB4rvZGAFpwpEbGdrcN5Y29ycA,"[:SubcollectionOfWithRelationFromTypeFn, :""Agent-Generic"", :hasMembers, :MultiIndividualAgent]"
Former Metal Blade Records artists,Mx4rwMcZI5wpEbGdrcN5Y29ycA,Artist
1753 plays,Mx4rv5L5vZwpEbGdrcN5Y29ycA,PropositionalConceptualWork
Television shows set in Michigan,Mx4rvnewlpwpEbGdrcN5Y29ycA,TVShow-CW
Navigation system companies,Mx4rvVjQNpwpEbGdrcN5Y29ycA,Business
1806 plays,Mx4rv5L5vZwpEbGdrcN5Y29ycA,PropositionalConceptualWork
Provincial highways in Canada,Mx4rvVjVYZwpEbGdrcN5Y29ycA,Highway
Haystak albums,Mx4rwLmi3JwpEbGdrcN5Y29ycA,Album-CW
Military of Qatar,Mx4rM6gQoNbeEdqAAAACs2IKaQ,MilitaryThing-SpatiallyLocalized
Organisations based in Monaco,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
Honduran football managers,Mx4rvVi3YpwpEbGdrcN5Y29ycA,Manager
Visitor attractions in Hiroshima Prefecture,Mx4rwPfOMJwpEbGdrcN5Y29ycA,TouristAttraction
Indonesian female singers,Mx4rvVjiz5wpEbGdrcN5Y29ycA,Singer
American online publication editors,Mx4rvVj7ZZwpEbGdrcN5Y29ycA,Editor
Albanian screenwriters,Mx4rnkRB3KgPQdeHH4EES_o7Mw,Screenwriter
Roni Size albums,Mx4rwLmi3JwpEbGdrcN5Y29ycA,Album-CW
Battles involving Norway,Mx4rd0DfJLgfEdmAAAACs6hRjg,MilitaryBattle
German books,Mx4rvVjmq5wpEbGdrcN5Y29ycA,Book-CW
Christian missionaries in the Philippines,Mx4rLHi5MCBjEdiNYwACs6hnlQ,Missionary
Russian buskers,Mx4rvViQkpwpEbGdrcN5Y29ycA,StreetPerformer
Kalamazoo College alumni,Mx4r1_WUCnWaQdeEdp-4peq4Og,Graduate
United States Navy Illinois-related ships,Mx4rvVirIJwpEbGdrcN5Y29ycA,Ship
Dominican Republic politicians,Mx4rvVjntpwpEbGdrcN5Y29ycA,Politician
Seismic faults of the United States,Mx4rvViduZwpEbGdrcN5Y29ycA,Fault-Topographical
British house music groups,Mx4rvVij7ZwpEbGdrcN5Y29ycA,MusicPerformanceOrganization
Princes of Waterloo,Mx4rv10QMJwpEbGdrcN5Y29ycA,Prince
The Fratellis albums,Mx4rwLmi3JwpEbGdrcN5Y29ycA,Album-CW
People from Skipton,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Railway stations in Wolverhampton,Mx4rv6ZmoZwpEbGdrcN5Y29ycA,RailroadStation
Songs with music by Percy Wenrich,Mx4rwP3teJwpEbGdrcN5Y29ycA,Song-CW
Landforms of Spain,Mx4rvVjORZwpEbGdrcN5Y29ycA,TopographicalFeature
Hebrew Bible nations,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Olympic alpine skiers of Albania,Mx4rFOwr9o12QdeYFMVwxtS1ag,SnowSkier
Conflicts in 1789,Mx4rd0DfJLgfEdmAAAACs6hRjg,MilitaryBattle
Olympic footballers of Saudi Arabia,Mx4rvVkDmZwpEbGdrcN5Y29ycA,SoccerPlayer
Australian documentary films,Mx4rv9AsNpwpEbGdrcN5Y29ycA,DocumentaryFilm
Roy Clark songs,Mx4rwP3teJwpEbGdrcN5Y29ycA,Song-CW
"Companies based in Eagan, Minnesota",Mx4rvVjQNpwpEbGdrcN5Y29ycA,Business
Japanese religions terms,Mx4rwHbUl5wpEbGdrcN5Y29ycA,NLPhrase
Tokelauan people,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
"People from Barbour County, West Virginia",Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
"People from Kingfisher County, Oklahoma",Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Railway bridges in British Columbia,Mx4rvgD1IZwpEbGdrcN5Y29ycA,Bridge
Ashkenazi Jews,Mx4rwQB4UJwpEbGdrcN5Y29ycA,JewishPerson
Elexorien albums,Mx4rwLmi3JwpEbGdrcN5Y29ycA,Album-CW
American football teams in Israel,Mx4rvVj5a5wpEbGdrcN5Y29ycA,FootballTeam
Montserratian cricketers,Mx4r7vjP4RuaEd2f4ADggVfexA,Cricketer
Monegasque people by ethnic or national origin,Mx4rvVjHiJwpEbGdrcN5Y29ycA,MonacanPerson
DOS-only freeware games,Mx4rv4KcTpwpEbGdrcN5Y29ycA,ElectronicGame
Yugoslav criminals,Mx4rvVjIu5wpEbGdrcN5Y29ycA,Criminal
Films directed by Clive Barker,Mx4rv973YpwpEbGdrcN5Y29ycA,Movie-CW
CONCACAF Gold Cup stadiums,Mx4rvVjtnZwpEbGdrcN5Y29ycA,Stadium
Boulton Paul aircraft,Mx4rvViuUJwpEbGdrcN5Y29ycA,AirTransportationDevice
"People from Fredericksburg, Texas",Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Municipalities in Durham Region,Mx4r06ySZMcYEdmAAAACs6hRjg,Municipality
Garden plants of Europe,Mx4rvVjG4ZwpEbGdrcN5Y29ycA,Plant
Geothermal power stations in Lithuania,Mx4r4Q_J6JIMEdqAAAACs71DGQ,ThermalPowerGenerationComplex
Executed Welsh women,Mx4rvVix8ZwpEbGdrcN5Y29ycA,AdultFemaleHuman
Films directed by Jean Grémillon,Mx4rv973YpwpEbGdrcN5Y29ycA,Movie-CW
Victims of aviation accidents or incidents in Mauritius,Mx4rx1ZbGssREdmAAAACs6hRjg,Victim-UnfortunatePerson
Industrial music services,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
Romanian Comintern people,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
"Companies based in San Joaquin County, California",Mx4rvVjQNpwpEbGdrcN5Y29ycA,Business
People from Tulkarm,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Dutch people of Kosovar descent,Mx4rvViNRpwpEbGdrcN5Y29ycA,DutchPerson
"People from Auburn, New York",Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Sri Lankan Hindu missionaries,Mx4rLHi5MCBjEdiNYwACs6hnlQ,Missionary
People from Jõgeva County,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Ships built in Romania,Mx4rvVirIJwpEbGdrcN5Y29ycA,Ship
Deans of Belfast,Mx4rLewQbBrKQdiM5737CX5GMw,Dean
"Museums in Cleveland, Ohio",Mx4rvWEnjpwpEbGdrcN5Y29ycA,MuseumStructure
"Buildings and structures in Storey County, Nevada",Mx4rvVidpZwpEbGdrcN5Y29ycA,ConstructionArtifact
British women poets,Mx4rvftqlZwpEbGdrcN5Y29ycA,Poet
People from Darjeeling district,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Films directed by Anne Aghion,Mx4rv973YpwpEbGdrcN5Y29ycA,Movie-CW
Horse farms in France,Mx4rwQrdCpwpEbGdrcN5Y29ycA,HorseFarm
Educational institutions disestablished in 1997,Mx4rvViNQZwpEbGdrcN5Y29ycA,EducationalOrganization
"Television stations in Stockton, California",Mx4rwQCRppwpEbGdrcN5Y29ycA,TelevisionStation
Murdered Afghan police officers,Mx4rvVjgBJwpEbGdrcN5Y29ycA,LawEnforcementOfficer
NEC Nijmegen managers,Mx4rvVi3YpwpEbGdrcN5Y29ycA,Manager
People from Halland County,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
T.A.T.u. video albums,Mx4rwLmi3JwpEbGdrcN5Y29ycA,Album-CW
First Sino-Japanese War naval ships of China,Mx4rvVjw85wpEbGdrcN5Y29ycA,ModernNavalShip
South Korean expatriates in Germany,Mx4rcSllnCxOQdiI0P90K7qpmQ,Expatriate
"Museums in Door County, Wisconsin",Mx4rvWEnjpwpEbGdrcN5Y29ycA,MuseumStructure
Super Sentai films,Mx4rv973YpwpEbGdrcN5Y29ycA,Movie-CW
Territorial disputes of Somalia,Mx4rvVjz15wpEbGdrcN5Y29ycA,DisputeEvent
Red Records artists,Mx4rwMcZI5wpEbGdrcN5Y29ycA,Artist
Crossover films,Mx4rv973YpwpEbGdrcN5Y29ycA,Movie-CW
High schools in the Palestinian territories,Mx4rvVjsgZwpEbGdrcN5Y29ycA,HighSchool
Italian wines,Mx4rvViYF5wpEbGdrcN5Y29ycA,Wine
Municipalities in Oregon,Mx4r06ySZMcYEdmAAAACs6hRjg,Municipality
1999 elections in Malaysia,Mx4rwQrmEZwpEbGdrcN5Y29ycA,Election
Members of the Parliament of Egypt,Mx8NhB4rvcD6KJwpEbGdrcN5Y29ycB4rvsaaeJwpEbGdrcN5Y29ycB4rvViz-5wpEbGdrcN5Y29ycB4rvZGAFpwpEbGdrcN5Y29ycA,"[:SubcollectionOfWithRelationFromTypeFn, :""Agent-Generic"", :hasMembers, :MultiIndividualAgent]"
ESPN executives,Mx4rvVj635wpEbGdrcN5Y29ycA,Executive
RPI Engineers football coaches,Mx4rvVjlaJwpEbGdrcN5Y29ycA,SportsCoach
Swedish silversmiths,Mx4rG3OOmUGeRsmX1APKow0Xew,Silversmith
Treaties entered into force in 2005,Mx4rwD8ghJwpEbGdrcN5Y29ycA,Treaty
People from Durg district,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Anti-communist organizations in the United States,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
Company towns in Kentucky,Mx4rvuXm9JwpEbGdrcN5Y29ycA,Town
National museums of New Zealand,Mx4rvViEOJwpEbGdrcN5Y29ycA,Museum-Organization
Writers from West Sumatra,Mx4rvVj7rpwpEbGdrcN5Y29ycA,Writer
Constitutional court judges,Mx4rvVi68pwpEbGdrcN5Y29ycA,Judge
Iraqi people murdered abroad,Mx4rvViOlpwpEbGdrcN5Y29ycA,IraqiPerson
Canadian trance music groups,Mx4rvVij7ZwpEbGdrcN5Y29ycA,MusicPerformanceOrganization
"Christian Social Party (Belgium, defunct) politicians",Mx4rvVjntpwpEbGdrcN5Y29ycA,Politician
Trevecca Nazarene University alumni,Mx4r1_WUCnWaQdeEdp-4peq4Og,Graduate
1989 murders in the United States,Mx4rwQrtcJwpEbGdrcN5Y29ycA,Murder
1956 establishments in India,Mx4rvjSBSZwpEbGdrcN5Y29ycA,Artifact-Generic
Quaker meeting houses in Massachusetts,Mx4rvVj7KJwpEbGdrcN5Y29ycA,Building
Swiss bird artists,Mx4rwMcZI5wpEbGdrcN5Y29ycA,Artist
"United States Senate elections, 1910",Mx4rwQrmEZwpEbGdrcN5Y29ycA,Election
Australian female single skaters,Mx4rvrL9TJwpEbGdrcN5Y29ycA,FigureSkater
Universal Music France albums,Mx4rwLmi3JwpEbGdrcN5Y29ycA,Album-CW
Alessi's Ark albums,Mx4rwLmi3JwpEbGdrcN5Y29ycA,Album-CW
Buildings and structures completed in 1829,Mx4rvVidpZwpEbGdrcN5Y29ycA,ConstructionArtifact
Rivers of Powys,Mx4rvVkHM5wpEbGdrcN5Y29ycA,River
States and territories established in 1005,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Fictional characters with HIV/AIDS,Mx4rwHKvgpwpEbGdrcN5Y29ycA,FictionalCharacter
States and territories disestablished in the 1890s,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
"Schools in Pinellas County, Florida",Mx4r3np2ODTxEdqAAAAH6RYvSQ,School-AcademicOrganization
Railway stations in the Vale of Glamorgan,Mx4rv6ZmoZwpEbGdrcN5Y29ycA,RailroadStation
"Buildings and structures in Roscommon County, Michigan",Mx4rvVidpZwpEbGdrcN5Y29ycA,ConstructionArtifact
Tajikistani scientists,Mx4rvVj755wpEbGdrcN5Y29ycA,Scientist
People from Maloja District,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Companies of England by industry,Mx4rvVjQNpwpEbGdrcN5Y29ycA,Business
Deportivo Lo Barnechea footballers,Mx4rvVkDmZwpEbGdrcN5Y29ycA,SoccerPlayer
Russian people of the Russo-Japanese War,Mx4rvgD1_JwpEbGdrcN5Y29ycA,RussianPerson
Defunct schools in Cumbria,Mx4r3np2ODTxEdqAAAAH6RYvSQ,School-AcademicOrganization
Landforms of Wilkes Land,Mx4rvVjORZwpEbGdrcN5Y29ycA,TopographicalFeature
Religious buildings completed in 1843,Mx4rvVj0S5wpEbGdrcN5Y29ycA,ReligiousBuilding
Religious buildings completed in 1858,Mx4rvVj0S5wpEbGdrcN5Y29ycA,ReligiousBuilding
Peacock Records albums,Mx4rwLmi3JwpEbGdrcN5Y29ycA,Album-CW
Robert Goulet albums,Mx4rwLmi3JwpEbGdrcN5Y29ycA,Album-CW
Railway stations served by Przewozy Regionalne InterRegio,Mx4rv6ZmoZwpEbGdrcN5Y29ycA,RailroadStation
Ambassadors of Pakistan to Brazil,Mx4rvrr-aZwpEbGdrcN5Y29ycA,Ambassador
"Townships in Gove County, Kansas",Mx4rvuXm9JwpEbGdrcN5Y29ycA,Town
Selznick International Pictures films,Mx4rv973YpwpEbGdrcN5Y29ycA,Movie-CW
Troika Games games,Mx4rv4KcTpwpEbGdrcN5Y29ycA,ElectronicGame
Albums produced by Tony Hatch,Mx4rwLmi3JwpEbGdrcN5Y29ycA,Album-CW
Albums conducted by Wally Stott,Mx4rwLmi3JwpEbGdrcN5Y29ycA,Album-CW
People educated at Durham High School for Girls,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Albums conducted by Weldon Irvine,Mx4rwLmi3JwpEbGdrcN5Y29ycA,Album-CW
"Buildings and structures in Jones County, Texas",Mx4rvVidpZwpEbGdrcN5Y29ycA,ConstructionArtifact
"Buildings and structures in Concordia Parish, Louisiana",Mx4rvVidpZwpEbGdrcN5Y29ycA,ConstructionArtifact
"Schools in Concordia Parish, Louisiana",Mx4r3np2ODTxEdqAAAAH6RYvSQ,School-AcademicOrganization
Kantipur Television series,Mx4rvj_X65wpEbGdrcN5Y29ycA,TVSeriesProduct
Experimental aircraft 1930–1939,Mx4rvViuUJwpEbGdrcN5Y29ycA,AirTransportationDevice
Swiss people of Jewish descent,Mx4rvVjQ3ZwpEbGdrcN5Y29ycA,SwissPerson
Spanish sportsmen,Mx4rvVi--5wpEbGdrcN5Y29ycA,Athlete
"People from South Hampton, New Hampshire",Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Amusement rides introduced in 2002,Mx4rwPfOMJwpEbGdrcN5Y29ycA,TouristAttraction
1976 debut albums,Mx4rwLmi3JwpEbGdrcN5Y29ycA,Album-CW
People from Gracias a Dios Department,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Theatres completed in 1908,Mx4rvViwqZwpEbGdrcN5Y29ycA,MovieTheaterSpace
Chilean racing drivers,Mx4rwFqOGpwpEbGdrcN5Y29ycA,RaceCarDriver
Universal Music Latino albums,Mx4rwLmi3JwpEbGdrcN5Y29ycA,Album-CW
Lakes of Pyrénées-Orientales,Mx4rvVi4IpwpEbGdrcN5Y29ycA,Lake
Buddhist temples in Phra Nakhon Si Ayutthaya Province,Mx4rvgDGwJwpEbGdrcN5Y29ycA,BuddhistTemple
Music festivals in British Columbia,Mx4rZYLIirWUEd2AAAAhm0vLxw,MusicFestival
Schools in Stockton-on-Tees (borough),Mx4r3np2ODTxEdqAAAAH6RYvSQ,School-AcademicOrganization
Italian Roman Catholic religious sisters and nuns,Mx4rvgHzmJwpEbGdrcN5Y29ycA,Nun
People from Genlis,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Games based on works,Mx4rvkS9GZwpEbGdrcN5Y29ycA,Game
Crosses (band) albums,Mx4rwLmi3JwpEbGdrcN5Y29ycA,Album-CW
Nations at the Summer Universiade,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
Lithuanian windsurfers,Mx4rvViKz5wpEbGdrcN5Y29ycA,Sailboard
Buildings and structures in the Liberec Region,Mx4rvVidpZwpEbGdrcN5Y29ycA,ConstructionArtifact
Carniolan Catholic poets,Mx4rvftqlZwpEbGdrcN5Y29ycA,Poet
Spanish people of Liberian descent,Mx4rvVj8RpwpEbGdrcN5Y29ycA,SpanishPerson
"People from Bradley Beach, New Jersey",Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Jedward albums,Mx4rwLmi3JwpEbGdrcN5Y29ycA,Album-CW
Screenplays by Gore Vidal,Mx4rv5TqKJwpEbGdrcN5Y29ycA,Screenplay
Ambassadors of Palestine to Iran,Mx4rvrr-aZwpEbGdrcN5Y29ycA,Ambassador
Television programs based on works by Robert A. Heinlein,Mx4rvnewlpwpEbGdrcN5Y29ycA,TVShow-CW
Masonic buildings completed in 1942,Mx4rvVj7KJwpEbGdrcN5Y29ycA,Building
Highways in Bangladesh,Mx4rvVjVYZwpEbGdrcN5Y29ycA,Highway
Brainfeeder albums,Mx4rwLmi3JwpEbGdrcN5Y29ycA,Album-CW
Musicians from Liaoning,Mx4rvVisB5wpEbGdrcN5Y29ycA,Musician
People educated at Freyberg High School,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Oil pipelines in Sudan,Mx4rvraFUpwpEbGdrcN5Y29ycA,OilPipeline
Caymanian people by ethnic or national origin,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
