Convention on Fishing and Conservation of the Living Resources of the High Seas,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
"Grubbs, Arkansas",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
"Nieuwpoort, Belgium",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
"Coamo, Puerto Rico",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Province of Ragusa,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Sredni Vashtar,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
Dancing at Lughnasa,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
Joan of Arc (1948 film),Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
Rangamati,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Oluwasegun Abiodun,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
The Awakening (sculpture),Mx4rvVj7KJwpEbGdrcN5Y29ycA,Building
Off-Ramp,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
Geoff Strong,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
El Busto,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Garango,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Gil Carlos Rodríguez Iglesias,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
"Holidays with Pay (Sea) Convention, 1936",Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
Pier Pressure (Arrested Development),Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
GameNOW,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
Porto Tolle,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Dömitz,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
"Atri, Abruzzo",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Sant'Angelo di Piove di Sacco,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Robotnik (1894–1939),Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
Gil Brandt,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mitsubishi HSR,Mx4rv9p3wpwpEbGdrcN5Y29ycA,DevisedPracticeOrWork
Bronze Man (comics),Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
Alexey Spirin,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Edith Holloway,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
From the Misery of Don Joost,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
Keezo Kane,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Cycling at the 2000 Summer Olympics – Women's cross-country,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Jonathan M. Rothberg,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Afro-Punk (film),Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Korean Canadian,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Mike Mathis,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Gottipati Brahmaiah,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Tommy Thompson (footballer born 1928),Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
The Mike Schneider Polka Band,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Roger Moeremans d'Emaüs,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
"Goro, Mirab Shewa",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Roman Catholic Diocese of Parma,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Brewster's Millions (1914 film),Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
Christ of Havana,Mx4rvVj7KJwpEbGdrcN5Y29ycA,Building
Jean-François-Joseph de Rochechouart,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
8273 Apatheia,Mx4rvakVVZwpEbGdrcN5Y29ycA,InanimateObject-Natural
15497 Lucca,Mx4rvakVVZwpEbGdrcN5Y29ycA,InanimateObject-Natural
3930 Vasilev,Mx4rvakVVZwpEbGdrcN5Y29ycA,InanimateObject-Natural
14594 Jindrašilhán,Mx4rvakVVZwpEbGdrcN5Y29ycA,InanimateObject-Natural
Homeless USA Cup,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
"Ootischenia, British Columbia",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
The Song of Songs (1933 film),Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
Athletics at the 2008 Summer Paralympics – Men's 400 metres T44,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Los Bellosos,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Tepecoacuilco de Trujano (municipality),Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Roger Kenyon,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Pittsburgh & Steubenville Extension Railroad Tunnel,Mx4rvgD1IZwpEbGdrcN5Y29ycA,Bridge
San Sebastián Tutla,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Cape Verde at the 2009 Lusophony Games,Mx4r8WKTYg5tEd6AAAAhm0QbaA,MultiSportsEventSportsCompetition
Heddy Honigmann,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Ivan Anastasov,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Choc Bay,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
"Gouldbusk, Texas",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Hungarians in Germany,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Bodinga,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
The Sing-Off,Mx4rvVioQZwpEbGdrcN5Y29ycA,Action
Dianópolis,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Jack Miller (sportscaster),Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Tlachichuca (municipality),Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Pallichandai Silaiman,Mx4rvVj7KJwpEbGdrcN5Y29ycA,Building
According to Mark,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Weightlifting at the 2010 Commonwealth Games – Women's +75 kg,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Neil McGregor (film director),Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Sanatani,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
2011 in São Tomé and Príncipe,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
CGIAR Consortium of International Agricultural Research Centers,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
Fencing at the 2011 Pan American Games – Men's épée,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Abdelaziz Barrada,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Sigfrido Reyes Morales,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Södermanland Runic Inscription 235,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
Bruckins,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
Arkansas Tuberculosis Sanatorium Historic District,Mx4rvVj7KJwpEbGdrcN5Y29ycA,Building
Research Plot 30,Mx4rvVj7KJwpEbGdrcN5Y29ycA,Building
Loualidia,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
The Prince's Dream,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
"Tapoco, North Carolina",Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
Soft tennis at the 2010 Asian Games – Women's singles,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
The Carstairs,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
