v,Reykjanes,Mx4rwMsGZpwpEbGdrcN5Y29ycA,Promontory
v,Augustus Ludlow,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Marcus Gilbert,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Michael Wolgemut,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Dave Bowen,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Thomas Russell (painter),Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Birkdale School,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
v,Jarred Moore,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
i,Rothmans Medal,Mx4rvVioQZwpEbGdrcN5Y29ycA,Action
v,Abe Martin,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
i,USS Menges (DE-320),Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
i,Oakes Ames Memorial Hall,Mx4rv6-_j5wpEbGdrcN5Y29ycA,SpaceInAFixedHOC
i,Colletotrichum crassipes,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
i,Wafu dressing,Mx4rvViX8ZwpEbGdrcN5Y29ycA,Salad
v,Eben Fiske Ostby,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Ivory Sully,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Jeff Staggs,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Andy Wilson (director),Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Liazid Sandjak,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Philippe Koch,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Seydou Koné,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Wang Chen (table tennis),Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
i,USS Shoshone (ID-1760),Mx4rvVioQZwpEbGdrcN5Y29ycA,Action
i,"Signal Hill (Canton, Massachusetts)",Mx4rvVjjH5wpEbGdrcN5Y29ycA,MathematicalOrComputationalThing
v,Tim Rubink,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
i,Hiligaynon (magazine),Mx4rvViXeJwpEbGdrcN5Y29ycA,MagazineCopy
v,Marko Bošković,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Rhagoletis bezziana,Mx4rvViwMZwpEbGdrcN5Y29ycA,Animal
v,Gerzon Chacón,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Allan Warren,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,William Thornton (rugby league),Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Mark Fitzloff,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Ismael Quílez,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,CADIVI,Mx4rvVjmoJwpEbGdrcN5Y29ycA,Group
v,Will Smith (rugby league),Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Bartram de Fouchier,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
i,"Speed Printing (Grand Forks, North Dakota)",Mx4rvVioQZwpEbGdrcN5Y29ycA,Action
v,Cole Walliser,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,John Pritchett (sound engineer),Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Lame duck (tango),Mx4rvVioQZwpEbGdrcN5Y29ycA,Action
v,Ste. Rose (electoral district),Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
i,Lie ring,Mx4rvVidpZwpEbGdrcN5Y29ycA,ConstructionArtifact
v,Jamaati,Mx4rvf9sZJwpEbGdrcN5Y29ycA,AspatialInformationStore
i,Bilevel positive airway pressure,Mx4rvVjjH5wpEbGdrcN5Y29ycA,MathematicalOrComputationalThing
i,Haig Homes,Mx4rvVioQZwpEbGdrcN5Y29ycA,Action
i,Matthew 6:18,Mx4rvViA9JwpEbGdrcN5Y29ycA,Thing
i,Bavarian dynasty,Mx4rvVjHL5wpEbGdrcN5Y29ycA,PhysicalDevice
v,Ipsilon Networks,Mx4rvVjVT5wpEbGdrcN5Y29ycA,Organization
v,Jewish meditation,Mx4rvVioQZwpEbGdrcN5Y29ycA,Action
i,"Chittenden-3-8 Vermont Representative District, 2002–2012",Mx4rvVj1yZwpEbGdrcN5Y29ycA,GroundsOfOrganization
i,Ídolos Brazil (season 1),Mx4rvViADZwpEbGdrcN5Y29ycA,Event
i,Toverud,Mx4rvVioQZwpEbGdrcN5Y29ycA,Action
i,Vésuviennes,Mx4rvf9sZJwpEbGdrcN5Y29ycA,AspatialInformationStore
i,Engineering process outsourcing,Mx4rvVjl2pwpEbGdrcN5Y29ycA,GeopoliticalEntity
i,Vann Lake and Ockley Woods,Mx4rwBcktpwpEbGdrcN5Y29ycA,DynamicIndexedInfoSource
v,Parklands Campus,Mx4rvVjmoJwpEbGdrcN5Y29ycA,Group
i,Ganglionic eminence,Mx4rvVioQZwpEbGdrcN5Y29ycA,Action
i,1907 Milan – San Remo,Mx4rvVi-V5wpEbGdrcN5Y29ycA,InternalCombustionPoweredDevice
u,Moolort railway line,Mx4rvVjHL5wpEbGdrcN5Y29ycA,PhysicalDevice
i,Vitrified sand,Mx4rvViFf5wpEbGdrcN5Y29ycA,SandMob
v,Lex curiata de imperio,Mx4rvf9sZJwpEbGdrcN5Y29ycA,AspatialInformationStore
v,Stratford Observer,Mx4rwClAZJwpEbGdrcN5Y29ycA,ConceptualWork
i,HEXACO model of personality structure,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
i,Patoli,Mx4rvVjjH5wpEbGdrcN5Y29ycA,MathematicalOrComputationalThing
i,LineSider Technologies,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
i,Co-option (biology),Mx4rvVjjH5wpEbGdrcN5Y29ycA,MathematicalOrComputationalThing
i,2003–04 QSPHL season,Mx4rvVjjH5wpEbGdrcN5Y29ycA,MathematicalOrComputationalThing
i,Lodderena pachynepion,Mx4rvVi9i5wpEbGdrcN5Y29ycA,Food
i,Virtual campus,Mx4rvVioQZwpEbGdrcN5Y29ycA,Action
v,Leonard Coleman,Mx4rvViAkpwpEbGdrcN5Y29ycA,Person
v,Indian CSICOP,Mx4rvVjmoJwpEbGdrcN5Y29ycA,Group
